Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,256,40,4.55,5,1664447526.0,8c7e20b2-96a5-4ed6-8392-03649d9d465c
f1,256,40,5.1,6,1664447531.0,33ce7cde-d95f-4556-b093-14555111e284
f1,256,40,4.59,5,1664447536.0,60a29baa-d755-4281-b407-83fe97be3487
f1,256,40,4.51,5,1664447541.0,4927849a-c6e1-4d3b-a2c7-f6fb057a2041
f1,256,40,4.1,5,1664447546.0,df5a9bca-df23-45bd-af6d-a91c2da67ef8
f1,256,40,4.3,5,1664447551.0,27f8f2ed-2e64-4b72-9f06-44f09ed0f959
f1,256,40,4.07,5,1664447557.0,54f118f1-1317-426e-ba0c-7d2d1086fb0e
f1,256,40,4.6,5,1664447562.0,4b7d37f6-1a26-46a0-8b85-d55fb24fce9f
f1,256,40,4.48,5,1664447567.0,661fe1b9-090c-4ccb-8104-51e3bcdab427
f1,256,40,4.53,5,1664447572.0,20900ccb-eeac-4d4c-bf14-a6e78fcc396b
f1,256,40,4.08,5,1664447577.0,611eda23-192a-492d-9732-b3caccaabc27
f1,256,40,14.13,15,1664447582.0,f24f9ae0-0d4d-41dd-a16c-03e8af8f8046
f1,256,40,4.52,5,1664447587.0,079f6ac4-5872-45c3-8a55-07422a9b1466
f1,256,40,11.49,12,1664447592.0,24fc0396-ff94-4eba-bd13-8e3d2ef0440f
f1,256,40,4.52,5,1664447597.0,934cc338-15da-4c07-847c-b53610211c77
f1,256,40,4.65,5,1664447602.0,137c87f2-2edb-46fc-aede-c2c423c8e083
f1,256,40,17.15,18,1664447607.0,502de7de-bb90-42e0-8a17-b218045907e2
f1,256,40,4.24,5,1664447612.0,f36cecf4-295a-469b-a545-b8872a85263c
f1,256,40,4.26,5,1664447618.0,2c168c8b-746a-4015-a39a-5cce9923d177
f1,256,40,10.2,11,1664447623.0,69d1283c-3c28-45c2-99ad-89884f3e9f20
f1,256,40,4.64,5,1664447628.0,65972492-cb80-488c-a350-48cfc7a199d4
f1,256,40,4.52,5,1664447633.0,8404757b-7201-4900-bf6d-8017c405908b
f1,256,40,4.5,5,1664447638.0,a7963e74-18ea-43af-b392-8bdfcadec40f
f1,256,40,12.99,13,1664447643.0,f9ab67f7-ce22-4bd8-bda3-68a977a47931
f1,256,40,17.14,18,1664447648.0,f877dc29-7fff-4b3f-a677-c59e742a6f09
f1,256,40,4.5,5,1664447653.0,798bff0a-eb64-406d-8cc5-354e48538c6d
f1,256,40,4.41,5,1664447658.0,729d147d-a92d-4236-b873-bf1b70f6308e
f1,256,40,4.48,5,1664447663.0,58955916-7ed1-4773-94ee-cf45280d34d3
f1,256,40,7.19,8,1664447668.0,3cfc0229-c914-4a60-9e60-58a228407859
f1,256,40,4.36,5,1664447673.0,a8eee6a0-bb4e-4af6-b422-cecef757f5c6
f1,256,40,4.34,5,1664447678.0,507f2b70-980b-495c-8bb7-f1b78a4b0a91
f1,256,40,4.6,5,1664447683.0,99aec895-1add-4f21-80e5-b3087f5b73c8
f1,256,40,4.67,5,1664447688.0,969353e0-537f-4a00-a83f-f35517df75c0
f1,256,40,24.37,25,1664447693.0,342967d1-7a7f-4156-8607-c71f543ee1cd
f1,256,40,4.29,5,1664447699.0,86e6376a-e914-46d6-b521-daac2634f785
f1,256,40,12.19,13,1664447704.0,081555b9-d6ad-4835-95a3-881bb2b0121d
f1,256,40,4.14,5,1664447709.0,99228ce0-36b7-43db-b864-a4b714183cbd
f1,256,40,4.96,5,1664447714.0,c19de7ce-1af6-49f2-bf77-543db87e70b9
f1,256,40,4.29,5,1664447719.0,278c79ad-d0cc-46ea-8445-edcd633a3459
f1,256,40,4.46,5,1664447724.0,c02b906b-f323-4546-8e7c-6afaed3b7158
f1,256,40,4.89,5,1664447729.0,6c3ef5de-6a53-4703-b2d3-2e73001e3c4b
f1,256,40,4.36,5,1664447734.0,28d532ad-0a3f-430f-ab28-a818afcc56e2
f1,256,40,4.27,5,1664447739.0,c89f125e-6f07-4a01-9895-a005d2b7e6eb
f1,256,40,4.67,5,1664447744.0,13eb5a81-afaa-4d26-b1ad-da39d622476a
f1,256,40,16.6,17,1664447749.0,a90ec9e5-d1ce-4e57-9965-0b266ac3cbd5
f1,256,40,14.3,15,1664447754.0,2b2a11e4-f17b-40ba-bee9-42953e7fa2f2
f1,256,40,10.45,11,1664447759.0,7f66d090-f7ef-405f-aec5-e2b5d0e2569c
f1,256,40,4.33,5,1664447764.0,8b93805a-6264-4054-bb42-82d9d8a612ba
f1,256,40,4.61,5,1664447769.0,7b8b0d30-9af9-4f62-86ad-d023fa273f49
f1,256,40,4.61,5,1664447774.0,f0f3de6b-13ef-41fe-a46f-54d14f8ad9f4
f1,256,40,6.7,7,1664447780.0,7a262d32-dba2-4259-bc9d-a6b34ede7099
f1,256,40,13.41,14,1664447785.0,c68967f3-d35d-4e19-bd56-3230b5f8d996
f1,256,40,4.44,5,1664447790.0,630b36c1-f269-462b-884d-91e3bd2cc5cb
f1,256,40,4.6,5,1664447795.0,1362902d-1b34-43a7-8945-b54faf6e010b
f1,256,40,10.7,11,1664447800.0,bcffc048-934c-4720-b51e-90218b842b43
f1,256,40,4.32,5,1664447805.0,d0413931-6fc4-418b-b550-3e759f75f794
f1,256,40,4.14,5,1664447810.0,fd1e733c-dc08-4398-b08b-4f233f1f6f1c
f1,256,40,16.71,17,1664447815.0,3259c2fc-7a52-4bf8-abb5-b339c43239e5
f1,256,40,4.46,5,1664447820.0,e65185e2-4b2c-4494-bb8f-503165764247
f1,256,40,9.81,10,1664447825.0,c686142e-d9b0-4f9e-aa24-661051c9fa72
f1,256,40,4.27,5,1664447830.0,d53a785b-8d6f-4a46-bc08-6d2179dea99d
