,Duration
0,338.99998664855957
1,657.9999923706055
2,426.9998073577881
3,505.00011444091797
4,563.0002021789551
5,382.000207901001
6,449.9998092651367
7,537.9998683929443
8,506.0000419616699
9,411.9999408721924
10,396.0001468658447
11,559.0000152587891
12,438.0002021789551
13,367.0001029968262
14,462.00013160705566
15,575.0000476837158
16,334.0001106262207
17,430.9999942779541
18,431.99992179870605
19,620.0001239776611
20,432.00016021728516
21,319.99993324279785
22,401.99995040893555
23,514.0001773834229
24,338.0000591278076
25,601.0000705718994
26,548.0000972747803
27,386.99984550476074
28,411.9999408721924
29,393.00012588500977
30,526.9999504089355
31,486.9999885559082
32,518.9998149871826
33,396.0001468658447
34,434.999942779541
35,324.00012016296387
36,460.00003814697266
37,476.99999809265137
38,445.9998607635498
39,388.0000114440918
40,480.9999465942383
41,723.0000495910645
42,496.0000514984131
43,368.0000305175781
44,422.0001697540283
45,374.00007247924805
46,407.0000648498535
47,716.0000801086426
48,432.00016021728516
49,501.9998550415039
50,483.0000400543213
51,342.9999351501465
52,562.999963760376
53,710.9999656677246
54,479.0000915527344
55,335.00003814697266
56,401.99995040893555
57,690.000057220459
58,467.00000762939453
59,343.99986267089844
60,385.9999179840088
61,428.9999008178711
62,387.00008392333984
63,446.0000991821289
64,347.0001220703125
65,424.0000247955322
66,421.00000381469727
67,405.99989891052246
68,378.00002098083496
69,388.99993896484375
70,404.9999713897705
71,445.00017166137695
72,405.0002098083496
73,409.0001583099365
74,391.9999599456787
75,375.99992752075195
76,365.9999370574951
77,354.0000915527344
78,413.9997959136963
79,348.00004959106445
80,414.0000343322754
81,373.0001449584961
82,392.0001983642578
83,354.0000915527344
84,338.99998664855957
85,430.00006675720215
86,516.9999599456787
87,382.9998970031738
88,476.99999809265137
89,565.9999847412109
90,439.9998188018799
91,329.9999237060547
92,461.99989318847656
93,514.9998664855957
94,340.0001525878906
95,417.00005531311035
96,602.9999256134033
97,370.00012397766113
98,437.000036239624
99,351.99999809265137
100,396.0001468658447
101,674.9999523162842
102,302.0000457763672
103,379.99987602233887
104,352.9999256134033
105,366.99986457824707
106,497.999906539917
107,381.0000419616699
108,578.9999961853027
109,476.0000705718994
110,514.9998664855957
111,414.99996185302734
112,565.9999847412109
113,411.9999408721924
114,426.00011825561523
115,382.9998970031738
116,498.0001449584961
117,433.0000877380371
118,454.9999237060547
119,355.9999465942383
120,355.0000190734863
121,556.999921798706
122,361.00006103515625
123,390.0001049041748
124,417.9999828338623
125,437.999963760376
