Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,1280,36,284.51,285,1640228785.0,986592cb-e0e9-4b92-ac34-e214c8b70b64
f1,1280,36,276.49,277,1640228789.0,6126eb4a-6f79-4c05-ba5a-30fec29700e6
f1,1280,36,276.75,277,1640228793.0,48c59a5f-8589-4a6e-b73d-1e9d5e0b5f45
f1,1280,36,276.89,277,1640228797.0,bcca7a31-2af3-49b7-86f5-aba013fa23ba
f1,1280,36,275.84,276,1640228801.0,a196a15e-c299-4902-8c66-cd7b91917bf3
f1,1280,36,277.89,278,1640228805.0,6743938f-4760-43f0-969a-d71dda8ad945
f1,1280,36,289.47,290,1640228810.0,d56424cf-2d47-4326-ac45-ebc8ec85d177
f1,1280,37,276.25,277,1640228814.0,ad114725-ace0-4b78-9748-5b1f5b4f27b1
f1,1280,37,276.72,277,1640228818.0,9972675f-556e-4e2b-a5f4-6fae0dd86b15
f1,1280,37,276.38,277,1640228822.0,36749607-e932-4932-ad04-73e4c0d6c86e
f1,1280,37,276.01,277,1640228826.0,47081984-594b-441a-9936-e3bfe1c3089f
f1,1280,37,279.16,280,1640228830.0,048922e0-b741-4833-8570-22bf1ee23eb1
f1,1280,37,278.43,279,1640228834.0,b19faeb5-f414-4554-84c2-ec56e68d4602
f1,1280,37,276.54,277,1640228838.0,ec5550b0-91ae-4c23-987a-95ab6bbede08
f1,1280,37,279.4,280,1640228842.0,4f0cf510-7f51-45f8-b06f-689e161aa734
f1,1280,37,279.82,280,1640228846.0,83cc51cb-8668-4727-a8e6-4cccdf73c136
f1,1280,37,278.85,279,1640228851.0,2a8c0da1-3c95-4c9d-9345-4c5072b6a11f
f1,1280,37,275.93,276,1640228855.0,603e07ef-5fd1-4a7f-a661-07d9d06c072a
f1,1280,37,271.69,272,1640228859.0,d6b0226e-1097-4d83-971a-3c1f619928d8
f1,1280,37,277.02,278,1640228863.0,ad4213b8-4e0b-48d4-b80b-be37d4184565
f1,1280,37,272.24,273,1640228867.0,f85e85d7-fed8-47a7-9cbf-f9ad21e36a1e
f1,1280,37,278.51,279,1640228871.0,8db9d65d-dfd7-4873-a32b-5d81af7ff8ec
f1,1280,37,278.48,279,1640228875.0,dae7d4e1-4afa-4ddb-9108-7b37e1708bcf
f1,1280,37,285.6,286,1640228879.0,69548875-6841-4cdd-9696-27116f12dd1a
f1,1280,37,275.52,276,1640228883.0,f946d658-c4f7-4885-88cf-009e327dd9b2
f1,1280,37,272.35,273,1640228887.0,005bd2e9-b23b-4ac4-a5e7-f7a7563b4f01
f1,1280,37,276.53,277,1640228891.0,a4ce9cd9-488f-4489-837f-229b27aa5a74
f1,1280,37,276.75,277,1640228896.0,d1d4fe38-920a-4a29-ab22-a5290c0661ba
f1,1280,37,268.63,269,1640228900.0,4b5ba312-a8b9-40f6-b30f-73ce90d28388
f1,1280,37,276.72,277,1640228904.0,5a5a07c2-6022-4d35-bc70-bc625b1a19aa
f1,1280,37,280.23,281,1640228908.0,72bb1e11-6240-4951-b509-44a2e24d6d7f
f1,1280,38,280.74,281,1640228912.0,42e51ac9-f8e3-4d68-b28d-81bc9a168c64
f1,1280,38,275.61,276,1640228916.0,08ff85e9-572d-42c1-8a05-a54d230c8039
f1,1280,38,269.74,270,1640228920.0,9094f48e-432a-4496-b372-a59f0ad7e69f
f1,1280,38,271.99,272,1640228924.0,3c39624e-71be-4db3-ad35-b4e90e98ae26
f1,1280,38,275.75,276,1640228928.0,0d000bb4-f49b-44b1-8d3a-90db4afdaf35
f1,1280,38,274.66,275,1640228932.0,7da639a3-ba75-4e3f-8926-04d22ed97fb3
f1,1280,38,275.98,276,1640228936.0,9aa7fc87-bb98-4030-9388-a81551395e1d
f1,1280,38,273.04,274,1640228941.0,2b425b66-9575-45fc-afdf-4eda73a1726d
f1,1280,38,273.05,274,1640228945.0,bb185b3b-ffbc-4efd-bfb0-6cd5ba5c9c7a
f1,1280,38,275.02,276,1640228949.0,5c7aeb80-043b-429a-a637-7fbe5036c741
f1,1280,38,269.22,270,1640228953.0,da637602-7c91-438d-803b-947dc9223fdc
f1,1280,38,275.58,276,1640228957.0,b8a0ecba-6bd4-457d-9990-c09badd3f976
f1,1280,39,274.86,275,1640228961.0,06aeca78-803a-4bd6-ab6f-927f07eab3d3
f1,1280,39,275.74,276,1640228965.0,d8360e59-097b-457f-87fb-5e425ea7d589
f1,1280,39,273.97,274,1640228969.0,7f9c7cc6-60c7-4f1f-b0a6-bbee497f0195
f1,1280,39,274.34,275,1640228973.0,2e524e93-ffd2-4332-aec5-db160e4b09f7
f1,1280,39,275.33,276,1640228977.0,9dbaade5-5105-423b-ad4a-0f023dc769e6
f1,1280,39,270.55,271,1640228982.0,776a71a7-7e50-4684-a2b1-2daf6b1dc02a
f1,1280,39,273.8,274,1640228986.0,2afe399c-ddce-4a42-abd6-23fca3c358b8
f1,1280,39,273.33,274,1640228990.0,dcf68705-6ff0-4560-b595-3bb92377b2f5
f1,1280,39,274.78,275,1640228994.0,f4e2b7c7-be70-4e40-86d2-784f78933413
