problem,constraint,percentile,optimized_configuration,duration_avg,duration_median,duration_percentile10,duration_percentile90,cost_avg,cost_median,cost_percentile10,cost_percentile90
BPBC,80.71377142857142,,"{'f1': 1088, 'f2': 1280, 'f3': 1088, 'f4': 1664, 'f5': 512, 'f6': 1856}",3010.8170609999997,2500.5699999999997,2347.7,4426.528000000001,81.25707126000002,66.3126,64.22919999999999,118.0502
BPBC,81.67044415584415,,"{'f1': 896, 'f2': 1280, 'f3': 1664, 'f4': 1856, 'f5': 1088, 'f6': 1472}",3043.8461989999996,2558.88,2462.732,4431.7080000000005,81.01156209000001,65.896,64.021,118.67530000000001
BPBC,82.62711688311688,,"{'f1': 896, 'f2': 1280, 'f3': 1664, 'f4': 1856, 'f5': 704, 'f6': 1856}",2957.1096589999997,2462.665,2367.228,4342.161999999999,82.13375027000001,68.0835,64.646,119.4045
BPBC,83.5837896103896,,"{'f1': 896, 'f2': 1280, 'f3': 1856, 'f4': 1856, 'f5': 1856, 'f6': 1856}",2959.926655,2462.4449999999997,2366.77,4356.75,83.372889,68.7085,67.2501,122.0254
BPBC,84.54046233766233,,"{'f1': 896, 'f2': 1280, 'f3': 1664, 'f4': 2048, 'f5': 1280, 'f6': 1472}",3020.5066859999997,2537.87,2433.0679999999998,4394.281000000001,84.25957364,68.7085,65.3751,123.90019999999998
BPBC,85.49713506493507,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 2240, 'f5': 1088, 'f6': 1472}",2956.006523,2496.8,2394.5759999999996,4302.098,85.40043821000002,69.646,67.4584,126.07099999999998
BPBC,86.45380779220778,,"{'f1': 896, 'f2': 1280, 'f3': 1856, 'f4': 2240, 'f5': 1088, 'f6': 1472}",2952.5074549999995,2494.4449999999997,2392.93,4288.685000000001,86.06118246000001,69.9584,67.4584,127.23349999999999
BPBC,87.41048051948052,,"{'f1': 1088, 'f2': 1280, 'f3': 1664, 'f4': 2240, 'f5': 1088, 'f6': 1472}",2932.9284439999997,2483.33,2342.1079999999997,4273.062000000001,87.38478633999999,70.47930000000001,68.5001,129.1085
BPBC,88.36715324675325,,"{'f1': 896, 'f2': 1280, 'f3': 1664, 'f4': 2240, 'f5': 704, 'f6': 2048}",2861.578983,2385.25,2281.6669999999995,4217.771000000001,88.35399834,71.8335,69.6459,128.9002
BPBC,89.32382597402597,,"{'f1': 1088, 'f2': 1472, 'f3': 1664, 'f4': 2240, 'f5': 1280, 'f6': 1856}",2797.944374,2357.88,2216.0099999999998,4123.803000000001,89.27841991999999,73.91690000000001,70.271,131.1753
