problem,constraint,percentile,optimized_configuration,duration_avg,duration_median,duration_percentile10,duration_percentile90,cost_avg,cost_median,cost_percentile10,cost_percentile90
BCPC,7871.043769841269,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7224.982586000001,5718.825000000001,5489.070000000001,11045.216,61.333325229999986,52.562599999999996,50.5835,89.0918
BCPC,8099.122211976911,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 512, 'f6': 512}",7964.409339000002,6518.76,6374.12,11461.351999999999,61.56305946000001,52.562599999999996,50.5835,89.40429999999999
BCPC,8327.200654112552,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 512}",8109.074146000001,6617.880000000001,6383.9580000000005,11893.323,61.20484192999999,52.562599999999996,50.687599999999996,88.7793
BCPC,8555.279096248196,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7233.084139000001,5719.640000000001,5490.716,11041.607999999998,61.32366755999999,52.562599999999996,50.5834,89.30011
BCPC,8783.357538383836,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7261.541403,5718.6,5488.378000000001,11077.346,61.528255169999994,52.562599999999996,50.687599999999996,89.09200000000001
BCPC,9011.435981,,"{'f1': 896, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",8913.411473,7278.050000000001,7103.894000000001,13599.385999999999,61.97962373000001,53.0834,51.2084,90.446
BCPC,9239.514422655122,,"{'f1': 704, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9114.387976,7446.820000000001,7301.716,13959.484,61.332637080000005,52.4585,50.791799999999995,89.3003
BCPC,9467.592864790764,,"{'f1': 704, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9124.910307,7447.500000000001,7299.776,13968.366999999998,61.37505178999999,52.4585,50.5835,89.3002
BCPC,9695.671306926406,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9620.548265000001,7823.4000000000015,7670.952000000002,14738.703000000001,61.60723244000001,52.4585,50.5835,89.196
BCPC,9923.749749062048,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9583.923803,7822.380000000001,7671.470000000001,14710.049999999997,61.40113903,52.4585,50.5835,89.196
BCPC,10151.82819119769,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9605.899176,7821.740000000002,7673.293000000002,14712.212,61.53648381,52.4585,50.5835,89.09181000000001
BCPC,10379.906633333332,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9557.542543000001,7817.215000000001,7672.260000000001,14722.684000000001,61.26639858999999,52.4585,50.583499999999994,89.09179999999999
BCPC,10607.985075,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 128, 'f5': 704, 'f6': 1856}",10560.226086,7835.96,7531.2930000000015,15383.487000000003,61.37773893,53.0834,51.0001,88.9877
BCPC,10836.063517604616,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 128, 'f5': 512, 'f6': 1472}",10705.390007,7944.26,7639.211,15593.604000000001,60.61777253,51.9376,49.9584,88.2584
BCPC,11064.14195974026,,"{'f1': 704, 'f2': 1280, 'f3': 1088, 'f4': 128, 'f5': 704, 'f6': 1088}",11172.734711,8348.345,8031.9800000000005,16252.944999999998,59.893273699999995,51.3126,49.3334,87.4252
BCPC,11292.2204018759,,"{'f1': 896, 'f2': 512, 'f3': 1088, 'f4': 128, 'f5': 512, 'f6': 1088}",11489.247756,8709.51,8445.057999999999,16786.903000000002,59.3325512,51.3127,49.541799999999995,86.5919
BCPC,11520.298844011544,,"{'f1': 896, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 512, 'f6': 1088}",11280.984438,8563.2,8257.019999999999,16453.69,59.77007452000001,51.833400000000005,49.7501,87.2168
BCPC,11748.377286147184,,"{'f1': 704, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",11736.862896999999,8928.900000000001,8460.206,17556.771000000008,59.447963789999996,51.208400000000005,49.3335,86.5919
BCPC,11976.455728282828,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 512, 'f6': 1088}",12058.337769999998,9088.614999999998,8816.602,17543.386000000002,59.58621938000001,51.0002,49.3334,86.3835
BCPC,12204.534170418468,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 512, 'f6': 1088}",12039.19593,9090.804999999998,8821.681,17680.559,59.63189691,51.0002,49.3334,86.5918
BCPC,12432.612612554112,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",12167.59396,9304.07,8836.4,18102.136,59.394803010000004,51.0002,49.3334,86.3836
BCPC,12660.691054689752,,"{'f1': 704, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 512}",12659.074001000003,9846.56,9359.883,18344.571,59.527164729999996,51.208400000000005,49.3335,86.80011
BCPC,12888.769496825396,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",12042.654769,9315.359999999999,8837.027999999998,17959.207000000002,58.90878036,51.0001,49.1251,86.1751
BCPC,13116.847938961037,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",12293.263602,9340.965,8840.221999999998,18340.184,59.71990399,51.208400000000005,49.3334,86.3835
BCPC,13344.92638109668,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",12156.939616,9320.795,8837.621,18115.27,59.342039639999996,51.0002,49.1252,86.3835
BCPC,13573.00482323232,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 512}",13125.723720999998,10240.215,9734.913999999999,19320.067000000003,59.50755010000001,51.208400000000005,49.3334,86.3836
BCPC,13801.083265367964,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",12230.47456,9329.289999999999,8838.302,18356.691000000003,59.52449742,51.0002,49.3334,86.5919
BCPC,14029.161708,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 512}",13144.183003999999,10220.485,9734.009,19297.472,59.578684849999995,51.104299999999995,49.3334,86.59180000000002
BCPC,14257.240149639249,,"{'f1': 704, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14108.811992,10917.654999999999,10639.579999999998,21339.521,59.482171539999996,51.0001,49.1251,86.5919
BCPC,14485.318591774889,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 1472, 'f6': 1088}",14500.450538999998,11289.419999999998,11011.84,21970.189000000002,59.386964709999994,50.791799999999995,49.750099999999996,86.17530000000001
BCPC,14713.397033910533,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 512}",13116.215441,10214.755,9738.93,19206.923000000003,59.429271400000005,51.0002,49.3334,86.17519999999999
BCPC,14941.475476046173,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14421.202180000002,11288.9,11009.4,21878.384000000002,59.00425845999999,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,15169.553918181817,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14603.067387000001,11294.26,11018.771,22068.043000000005,59.55392256,50.791799999999995,49.3334,86.17519999999999
BCPC,15397.63236031746,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14439.033259,11289.589999999998,11016.317,21884.457000000002,59.093368989999995,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,15625.7108024531,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14544.809263999998,11281.41,11012.019999999999,22114.11,59.39950286,50.791799999999995,49.125099999999996,86.38359999999999
