,Duration
0,319.0000057220459
1,315.99998474121094
2,316.9999122619629
3,319.99993324279785
4,319.0000057220459
5,319.0000057220459
6,316.00022315979004
7,317.99983978271484
8,315.99998474121094
9,319.99993324279785
10,319.99993324279785
11,314.00012969970703
12,318.00007820129395
13,319.0000057220459
14,319.0000057220459
15,319.0000057220459
16,315.000057220459
17,317.99983978271484
18,316.9999122619629
19,315.000057220459
20,322.00002670288086
21,315.99998474121094
22,319.0000057220459
23,316.9999122619629
24,314.9998188018799
25,315.000057220459
26,312.999963760376
27,314.00012969970703
28,316.9999122619629
29,319.0000057220459
30,315.000057220459
31,313.99989128112793
32,316.00022315979004
33,317.99983978271484
34,314.00012969970703
35,312.000036239624
36,315.99998474121094
37,316.9999122619629
38,322.9999542236328
39,325.0000476837158
40,313.99989128112793
41,319.0000057220459
42,315.99998474121094
43,318.00007820129395
44,322.9999542236328
45,335.00003814697266
46,315.99998474121094
47,313.99989128112793
48,318.00007820129395
49,315.99998474121094
50,318.00007820129395
51,315.99998474121094
52,318.00007820129395
53,312.999963760376
54,317.000150680542
55,312.000036239624
56,315.000057220459
57,318.00007820129395
58,315.000057220459
59,315.99998474121094
60,317.000150680542
61,318.00007820129395
62,319.0000057220459
63,318.00007820129395
64,312.000036239624
65,315.000057220459
66,317.000150680542
67,315.000057220459
68,313.99989128112793
69,315.000057220459
70,315.99998474121094
71,316.9999122619629
72,315.99998474121094
73,315.000057220459
74,338.99998664855957
75,322.9999542236328
76,313.99989128112793
77,315.000057220459
78,312.999963760376
79,314.00012969970703
80,322.00002670288086
81,314.9998188018799
82,312.000036239624
83,322.9999542236328
84,318.00007820129395
85,317.99983978271484
86,314.00012969970703
87,317.000150680542
88,319.99993324279785
89,315.99998474121094
90,317.000150680542
91,313.99989128112793
92,318.9997673034668
93,314.00012969970703
94,313.99989128112793
95,319.0000057220459
96,319.0000057220459
97,315.000057220459
98,315.000057220459
99,315.000057220459
100,319.0000057220459
101,319.0000057220459
102,312.000036239624
103,319.99993324279785
104,315.99998474121094
105,312.999963760376
106,312.999963760376
107,315.000057220459
108,315.99998474121094
109,312.999963760376
110,312.999963760376
111,315.99998474121094
112,312.999963760376
113,313.99989128112793
114,317.000150680542
115,318.00007820129395
116,314.00012969970703
117,315.000057220459
118,315.000057220459
119,315.000057220459
120,313.99989128112793
121,315.99998474121094
122,312.000036239624
123,313.99989128112793
124,313.99989128112793
125,316.9999122619629
126,326.0002136230469
127,315.000057220459
128,315.99998474121094
129,314.9998188018799
130,319.0000057220459
131,322.00002670288086
132,315.99998474121094
133,315.000057220459
134,319.0000057220459
135,312.999963760376
136,314.00012969970703
137,312.999963760376
138,315.000057220459
139,314.00012969970703
140,315.99998474121094
141,320.00017166137695
142,313.99989128112793
143,315.99998474121094
144,315.000057220459
145,318.00007820129395
146,317.000150680542
147,315.000057220459
148,315.99998474121094
149,315.99998474121094
150,316.9999122619629
151,351.0000705718994
152,315.000057220459
153,315.99998474121094
154,316.9999122619629
155,316.9999122619629
156,319.99993324279785
157,316.9999122619629
158,313.99989128112793
159,313.99989128112793
160,315.99998474121094
161,319.99993324279785
162,315.000057220459
163,315.99998474121094
164,314.9998188018799
165,316.9999122619629
166,318.00007820129395
167,311.9997978210449
168,318.00007820129395
169,315.99998474121094
170,314.00012969970703
171,319.0000057220459
172,313.99989128112793
173,316.00022315979004
174,314.00012969970703
175,317.000150680542
176,320.00017166137695
177,316.9999122619629
178,312.999963760376
