,scheduling_overhead
0,0.0
1,16.000032424926758
2,0.0
3,0.0
4,25.00009536743164
5,0.0
6,0.0
7,18.000125885009766
8,0.0
9,0.0
10,0.9999275207519531
11,22.00007438659668
12,22.00007438659668
13,20.999908447265625
14,0.0
15,0.9999275207519531
16,27.9998779296875
17,0.0
18,29.000043869018555
19,13.99993896484375
20,0.0
21,17.000198364257812
22,0.0
23,0.0
24,0.0
25,0.0
26,26.999950408935547
27,0.0
28,0.0
29,16.99995994567871
30,0.0
31,0.0
32,22.00007438659668
33,0.0
34,0.0
35,0.0
36,19.999980926513672
37,0.0
38,0.0
39,28.0001163482666
40,24.99985694885254
41,27.9998779296875
42,0.0
43,0.0
44,14.999866485595703
45,16.99995994567871
46,0.0
47,0.0
48,0.0
49,29.999971389770508
50,25.00009536743164
51,13.000011444091797
52,17.999887466430664
53,0.0
54,23.999929428100586
55,22.00007438659668
56,13.99993896484375
57,0.0
58,0.0
59,0.0
60,0.0
61,20.999908447265625
62,35.00008583068848
63,0.0
64,0.0
65,23.000001907348633
66,0.0
67,0.0
68,0.0
69,16.000032424926758
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,26.999950408935547
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,21.999835968017578
88,0.0
89,24.99985694885254
90,0.0
91,0.0
92,0.0
93,31.000137329101562
94,0.0
95,19.999980926513672
96,22.00007438659668
97,0.0
98,23.000001907348633
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,3.999948501586914
107,0.0
108,0.0
109,19.00005340576172
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,19.00005340576172
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,16.000032424926758
123,0.0
124,0.0
125,15.000104904174805
126,26.000022888183594
127,0.9999275207519531
128,0.0
129,19.00005340576172
130,19.00005340576172
131,0.0
132,0.0
133,23.000001907348633
134,17.000198364257812
135,22.00007438659668
136,0.0
137,0.0
138,18.999814987182617
139,0.0
140,0.0
141,25.00009536743164
142,0.0
143,0.0
144,23.000001907348633
145,16.99995994567871
146,0.0
147,0.0
148,0.0
149,0.0
150,26.999950408935547
151,0.0
152,25.00009536743164
153,19.00005340576172
154,0.0
155,19.999980926513672
156,0.9999275207519531
157,0.0
158,0.0
159,0.0
160,17.999887466430664
161,29.999971389770508
162,29.000043869018555
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,26.999950408935547
169,20.999908447265625
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,21.999835968017578
176,0.0
177,0.0
178,0.0
179,21.000146865844727
180,0.0
181,0.0
182,0.0
183,0.0
184,25.00009536743164
185,20.999908447265625
186,0.0
187,25.00009536743164
188,0.0
189,0.0
190,0.0
191,0.0
192,15.000104904174805
193,0.0
194,26.999950408935547
195,19.999980926513672
196,24.99985694885254
197,13.99993896484375
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,14.000177383422852
207,0.0
208,18.000125885009766
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,13.99993896484375
217,0.0
218,19.00005340576172
219,20.999908447265625
220,24.99985694885254
221,22.00007438659668
222,0.0
223,0.0
224,0.0
225,0.0
226,12.000083923339844
227,19.999980926513672
228,0.0
229,0.0
230,24.99985694885254
231,0.0
232,18.000125885009766
233,29.999971389770508
234,0.0
235,0.0
236,24.000167846679688
237,0.0
238,0.0
239,23.000001907348633
240,29.000043869018555
241,0.0
242,26.000022888183594
243,0.0
244,0.0
245,0.0
246,0.0
247,22.00007438659668
248,23.000001907348633
249,0.0
250,36.99994087219238
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,29.000043869018555
263,21.999835968017578
264,22.00007438659668
265,0.0
266,23.000001907348633
267,20.999908447265625
268,0.0
269,0.0
270,19.999980926513672
271,18.999814987182617
272,0.0
273,0.0
274,0.0
275,14.999866485595703
276,0.0
277,26.000022888183594
278,0.0
279,0.0
280,0.0
281,19.00005340576172
282,0.0
283,26.000022888183594
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,21.999835968017578
290,0.0
291,0.0
292,16.000032424926758
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,23.000001907348633
301,24.000167846679688
302,17.999887466430664
303,24.99985694885254
304,0.0
305,23.000001907348633
306,21.000146865844727
307,19.00005340576172
308,20.999908447265625
309,0.0
310,24.99985694885254
311,25.999784469604492
312,0.0
313,26.000022888183594
314,0.0
315,17.999887466430664
316,19.999980926513672
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,20.000219345092773
323,22.00007438659668
324,0.0
325,0.0
326,22.00007438659668
327,0.0
328,0.0
329,22.00007438659668
330,0.0
331,0.0
332,16.000032424926758
333,32.99999237060547
334,25.00009536743164
335,0.0
336,0.0
337,1.0001659393310547
338,0.0
339,0.0
340,0.0
341,32.99999237060547
342,0.0
343,29.000043869018555
344,0.0
345,0.0
346,19.999980926513672
347,24.99985694885254
348,0.0
349,0.0
350,0.0
351,17.999887466430664
352,0.0
353,23.000001907348633
354,0.0
355,23.000001907348633
356,52.00004577636719
357,26.999950408935547
358,0.0
359,0.0
360,0.0
361,18.000125885009766
362,0.0
363,0.0
364,0.0
365,0.0
366,16.99995994567871
367,21.999835968017578
368,0.0
369,0.9999275207519531
370,0.9999275207519531
371,0.0
372,0.0
373,0.0
374,0.0
375,22.00007438659668
376,0.0
377,0.0
378,0.0
379,0.0
380,26.999950408935547
381,23.000001907348633
382,0.0
383,0.0
384,27.00018882751465
385,0.9999275207519531
386,23.000001907348633
387,0.0
388,0.0
389,0.9999275207519531
390,0.0
391,0.0
392,0.0
393,22.00007438659668
394,0.0
395,0.0
396,18.999814987182617
397,0.0
398,20.999908447265625
399,0.0
400,0.0
401,16.000032424926758
402,0.0
403,17.999887466430664
404,30.99989891052246
405,0.0
406,0.0
407,0.0
408,0.0
409,14.999866485595703
410,0.0
411,0.0
412,0.0
413,15.000104904174805
414,23.000001907348633
415,29.000043869018555
416,26.000022888183594
417,26.999950408935547
418,23.000001907348633
419,0.0
420,0.0
421,17.999887466430664
422,0.0
423,16.000032424926758
424,0.0
425,0.0
426,24.99985694885254
427,0.0
428,19.00005340576172
429,20.999908447265625
430,0.0
431,0.0
432,24.000167846679688
433,0.0
434,0.0
435,19.00005340576172
436,0.0
437,21.000146865844727
438,19.999980926513672
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,41.0001277923584
446,20.999908447265625
447,0.0
448,26.000022888183594
449,0.0
450,19.999980926513672
451,16.99995994567871
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,19.999980926513672
462,0.0
463,0.0
464,0.0
465,0.0
466,21.000146865844727
467,13.000011444091797
468,0.0
469,25.00009536743164
470,0.0
471,28.0001163482666
472,19.999980926513672
473,0.0
474,0.0
475,0.0
476,0.0
477,27.9998779296875
478,0.0
479,15.000104904174805
480,31.999826431274414
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,18.999814987182617
487,0.0
488,0.0
489,19.00005340576172
490,0.0
491,15.000104904174805
492,0.0
493,0.0
494,0.0
495,23.000001907348633
496,0.0
497,0.0
498,0.0
499,26.000022888183594
500,17.999887466430664
501,0.0
502,18.999814987182617
503,0.0
504,14.999866485595703
505,22.00007438659668
506,0.0
507,0.0
508,0.0
509,13.000011444091797
510,0.0
511,0.9999275207519531
512,0.0
513,0.0
514,14.999866485595703
515,0.0
516,0.0
517,0.0
518,13.000011444091797
519,0.0
520,0.0
521,0.0
522,0.0
523,34.00015830993652
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,19.00005340576172
530,28.0001163482666
531,19.00005340576172
532,0.0
533,0.0
534,0.0
535,0.0
536,25.00009536743164
537,21.000146865844727
538,19.999980926513672
539,13.99993896484375
540,0.0
541,0.0
542,19.00005340576172
543,0.0
544,21.000146865844727
545,0.0
546,31.999826431274414
547,0.0
548,23.999929428100586
549,0.0
550,19.00005340576172
551,0.0
552,14.999866485595703
553,0.0
554,0.0
555,0.0
556,0.0
557,17.000198364257812
558,0.0
559,0.0
560,25.00009536743164
561,14.000177383422852
562,0.0
563,19.999980926513672
564,21.000146865844727
565,13.99993896484375
566,14.999866485595703
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,13.000011444091797
574,0.0
575,29.999971389770508
576,0.0
577,0.0
578,21.000146865844727
579,20.000219345092773
580,26.999950408935547
581,21.000146865844727
582,0.0
583,31.999826431274414
584,0.0
585,13.000011444091797
586,0.0
587,0.0
588,0.0
589,26.999950408935547
590,0.0
591,15.000104904174805
592,16.000032424926758
593,0.0
594,19.999980926513672
595,0.0
596,0.0
597,0.0
598,0.0
599,0.9999275207519531
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,27.00018882751465
606,22.00007438659668
607,0.0
608,0.0
609,26.999950408935547
610,0.0
611,0.0
612,0.0
613,0.0
614,24.99985694885254
615,0.0
616,19.999980926513672
617,0.0
618,23.000001907348633
619,26.000022888183594
620,0.0
621,16.99995994567871
622,23.999929428100586
623,0.0
624,0.0
625,0.0
626,0.0
627,26.000022888183594
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,24.000167846679688
635,23.000001907348633
636,0.9999275207519531
637,23.999929428100586
638,0.0
639,21.999835968017578
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,21.000146865844727
646,0.0
647,24.99985694885254
648,0.0
649,0.0
650,27.00018882751465
651,0.0
652,0.0
653,0.0
654,15.000104904174805
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,1.0001659393310547
662,28.0001163482666
663,0.0
664,24.99985694885254
665,16.000032424926758
666,0.0
667,0.0
668,0.0
669,0.0
670,13.99993896484375
671,19.00005340576172
672,20.999908447265625
673,33.99991989135742
674,21.999835968017578
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,25.00009536743164
684,14.999866485595703
685,22.00007438659668
686,26.999950408935547
687,0.0
688,0.0
689,0.0
690,11.999845504760742
691,0.0
692,12.000083923339844
693,20.999908447265625
694,0.0
695,0.0
696,26.999950408935547
697,0.0
698,0.0
699,0.0
700,0.0
701,29.999971389770508
702,0.0
703,0.0
704,19.00005340576172
705,0.0
706,0.0
707,22.00007438659668
708,0.0
709,1.0001659393310547
710,19.00005340576172
711,13.000011444091797
712,0.0
713,0.0
714,16.000032424926758
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,25.00009536743164
724,0.0
725,16.99995994567871
726,0.0
727,23.000001907348633
728,29.000043869018555
729,0.0
730,0.0
731,0.0
732,0.0
733,19.00005340576172
734,22.00007438659668
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,23.000001907348633
742,0.0
743,0.0
744,24.99985694885254
745,0.0
746,19.999980926513672
747,0.0
748,24.99985694885254
749,23.000001907348633
750,0.0
